2025-08-08 09:10:12 INFO  Server started successfully
2025-08-08 09:12:45 INFO  User 'admin' logged in
2025-08-08 09:15:32 WARNING  High memory usage detected: 85%
2025-08-08 09:17:05 ERROR  404 Not Found - /products/item123
2025-08-08 09:18:22 INFO  Request processed for /home
2025-08-08 09:20:10 ERROR  500 Internal Server Error - /checkout
2025-08-08 09:22:18 INFO  User 'guest' logged out
2025-08-08 09:23:55 ERROR  403 Forbidden - /admin/settings
2025-08-08 09:23:55 ERROR  403 Forbidden - /admin/settings
2025-08-08 09:23:55 ERROR  403 Forbidden - /admin/settings
2025-08-08 09:25:40 WARNING  Disk space low: 2% remaining
2025-08-08 09:28:14 INFO  Scheduled backup completed
2025-08-08 09:30:02 ERROR  404 Not Found - /images/logo.png
2025-08-08 09:32:55 INFO  User 'john_doe' logged in
2025-08-08 09:34:11 ERROR  Database connection failed
2025-08-08 09:36:20 INFO  Server shutting down
2025-08-08 09:15:32 WARNING  Threat Found
2025-08-08 09:17:05 ERROR  404 Not Found - /products/item123
